question,answer
This is rarely used in practice?,.
"The interfering float is computed as the difference between the TS 
and the FS?","computed as the difference between the TS 
and the FS."
"IF or independent slack is the amount of float that 
an activity will always have regardless of the completion time of its pre-
decessors or the starting times of its successors?","the amount of float that 
an activity will always have regardless of the completion time of its pre-
decessors or the starting times of its successors."
"IF is computed as
	
IFi = Max{0, (Min ESj − Max LCk − ti)}
	
j ∈ S(i)	 k ∈ P(i)
ESj = earliest starting time of succeeding activity j
LCk = latest completion time of preceding activity k
ti = duration of the activity i, whose IF is being calculated
124
Project Management for the Oil and Gas Industry
IF takes a pessimistic view of the situation of an activity?","computed as
	
IFi = Max{0, (Min ESj − Max LCk − ti)}
	
j ∈ S(i)	 k ∈ P(i)
ESj = earliest starting time of succeeding activity j
LCk = latest completion time of preceding activity k
ti = duration of the activity i, whose IF."
"It evaluates the 
situation whereby the activity is pressured from either side, that is, when 
its predecessors are delayed as late as possible while its successors are to be 
started as early as possible?","pressured from either side, that."
"IF is useful for conservative planning purposes, 
but it is not used much in practice?","useful for conservative planning purposes, 
but it."
"5, the TS and the 
FS for activity A are calculated, respectively, as
	
TS = 6 − 2 = 4 days
	
FS = Min{2, 2} − 2 = 2 − 2 = 0
Similarly, the TS and the FS for activity F are
	
TS = 11 − 6 = 5 days
	
FS = Min{11} − 6 = 11 − 6 = 5 days
Table 5?","calculated, respectively, as
	
TS = 6 − 2 = 4 days
	
FS = Min{2, 2} − 2 = 2 − 2 = 0
Similarly, the TS and the FS for activity F."
The results indicate that the minimum TS in the network is 0?,0.
"Thus, activ-
ities C, E, and G are identified as the critical activities?",identified as the critical activities.
"The critical path is 
highlighted in Figure 5?",highlighted in Figure 5.
"4 and consists of the following sequence of activities: 
START–C–E–G–END?","ts of the following sequence of activities: 
START–C–E–G–END."
"The TS for the overall project itself is equal to the TS observed on 
the critical path?","equal to the TS observed on 
the critical path."
"The minimum slack in most networks will be zero since 
the ending LC is set equal to the ending EC?",set equal to the ending EC.
"If a deadline is specified for 
a project, then we would set the project’s latest completion time to the 
specified deadline?","specified for 
a project, then we would set the project’s latest completion time to the 
specified deadline."
"2
Result of CPM Analysis for Sample Project
Activity
Duration
ES
EC
LS
LC
TS
FS
Criticality
A
2
0
2
4
6
4
0
—
B
6
0
6
3
9
3
3
—
C
4
0
4
0
4
0
0
Critical
D
3
2
5
6
9
4
4
—
E
5
4
9
4
9
0
0
Critical
F
4
2
6
7
11
5
5
—
G
2
9
11
9
11
0
0
Critical
125
Critical Path Method for Oil and Gas Projects
This minimum TS will then appear as the TS for each activity on the criti-
cal path?","for Sample Project
Activity
Duration
ES
EC
LS
LC
TS
FS
Criticality
A
2
0
2
4
6
4
0
—
B
6
0
6
3
9
3
3
—
C
4
0
4
0
4
0
0
Critical
D
3
2
5
6
9
4
4
—
E
5
4
9
4
9
0
0
Critical
F
4
2
6
7
11
5
5
—
G
2
9
11
9
11
0
0
Critical
125
Critical Path Method for Oil and Gas Projects
Th."
"If a specified deadline is lower than the EC at the finish node, then 
the project will start out with a negative slack?",lower than the EC at the fin.
"In this case, 
the deadline of 18 days comes after the earliest completion time of the last 
node in the network?","case, 
the deadline of 18 days comes after the earliest completion time of the last 
node in the network."
"Gantt Charts
When the results of a CPM analysis are fitted to a calendar time, the project 
plan becomes a schedule?","are fitted to a calendar time, the project 
plan becomes a schedule."
"The Gantt chart is one of the most widely used tools 
for presenting a project schedule?","one of the most widely used tools 
for presenting a project schedule."
"The time scale is indicated along the horizontal 
axis, while horizontal bars or lines representing activities are ordered along 
the vertical axis?","indicated along the horizontal 
ax."
"As a project progresses, markers are made on the activity 
bars to indicate actual work accomplished?",hed.
"Critical activities are indicated 
by the shaded bars?","indicated 
by the shaded bars."
"Likewise, A, D, or both 
A
2
0
2
2
6
18
14
2
13
11
13
16
5
9
11
6
0
10
16
7
7
0
7
11
11
16
16
18
18
18
11
11
4
4
9
0
0
F
4
D
3
B
6
G
2
E
5
C
4
Start
End
Project EC
Specified deadline
Critical path with float of 7 days
FIGURE 5?","e, A, D, or both 
A
2
0
2
2
6
18
14
2
13
11
13
16
5
9
11
6
0
10
16
7
7
0
7
11
11
16
16
18
18
18
11
11
4
4
9
0
0
F
4
D
3
B
6
G
2
E
5
C
4
Start
End
Project EC
Specified deadline
Critical path with float of 7 days
FIGURE 5."
"If all the 4 days of slack are used up by A, then D can-
not be delayed?","used up by A, then D can-
not be delayed."
"If A is delayed by 1 day, then D can be delayed by up to 
3 days without causing a delay of G, which determines the project comple-
tion?","delayed by 1 day, then D can be delayed by up to 
3 days without causing a delay of G, which determines the project comple-
tion."
"8, the activities 
are scheduled by their latest completion times?",scheduled by their latest completion times.
"This represents the extreme 
case where activity slack times are fully used?","represents the extreme 
case where activity slack times are fully used."
"No activity in this schedule 
G
F
E
D
C
B
A
–1
0
1
3
5
7
9
11
Days
Activity
FIGURE 5?","schedule 
G
F
E
D
C
B
A
–1
0
1
3
5
7
9
11
Days
Activity
FIGURE 5."
"8, only one activity is 
scheduled over the first three days?",scheduled over the first three days.
"This may be compared to the schedule in 
Figure 5?","may be compared to the schedule in 
Figure 5."
"8 may 
be useful if there is a situation that permits only a few activities to be sched-
uled in the early stages of the project?","a situation that permits only a few activities to be sched-
uled in the early stages of the project."
"Scheduling of activities based on ES times indicates an optimistic 
view?","tic 
view."
Scheduling on the basis of LS times represents a pessimistic approach?,of LS times represents a pessim.
"This 
is often accomplished by crashing activities?",.
"Crashing is done as a trade-off between shorter task duration and higher 
task cost?","done as a trade-off between shorter task duration and higher 
task cost."
"It must be determined whether the total cost savings realized from 
reducing the project duration is enough to justify the higher costs associated 
with reducing individual task durations?","enough to justify the higher costs associated 
with reducing individual task durations."
"If there is a delay penalty associ-
ated with a project, it may be possible to reduce the total project cost even 
though individual task costs are increased by crashing?","a delay penalty associ-
ated with a project, it may be possible to reduce the total project cost even 
though individual task costs are increased by crashing."
"If the cost savings on 
a delay penalty are higher than the incremental cost of reducing the project 
duration, then crashing is justified?",justified.
"Under conventional crashing, the further 
the duration of a project is compressed, the higher the total cost of the proj-
ect?","compressed, the higher the total cost of the proj-
ect."
"The objective is to determine at what point to terminate further crashing 
in a network?","to determine at what point to terminate further crashing 
in a network."
"Crash task duration refers to the reduced 
time required to perform a task when additional resources are allocated to it?",allocated to it.
"If each activity is assigned a range of time and cost estimates, then sev-
eral combinations of time and cost values will be associated with the over-
all project?","assigned a range of time and cost estimates, then sev-
eral combinations of time and cost values will be associated with the over-
all project."
"Iterative procedures are used to determine the best time or cost 
combination for a project?","used to determine the best time or cost 
combination for a project."
"Time–cost trade-off analysis may be conducted, 
for example, to determine the marginal cost of reducing the duration of the 
project by one time unit?","may be conducted, 
for example, to determine the marginal cost of reducing the duration of the 
project by one time unit."
"The normal duration of the project is 11 days, as 
seen earlier, and the normal cost is $2775?","11 days, as 
seen earlier, and the normal cost."
"If all the activities are reduced to their respective crash durations, the total 
crash cost of the project will be $3545?","reduced to their respective crash durations, the total 
crash cost of the project will be $3545."
"In that case, the crash time is found 
by CPM analysis to be 7 days?","found 
by CPM analys."
"The CPM network for the fully crashed proj-
ect is shown in Figure 5?",shown in Figure 5.
"Rather, some heuristic would be used to determine which activity should be 
crashed and by how much?","tic would be used to determine which activity should be 
crashed and by how much."
"One approach is to crash only the critical activi-
ties or those activities with the best ratios of incremental cost versus time 
reduction?","to crash only the critical activi-
ties or those activities with the best ratios of incremental cost versus time 
reduction."
"The crashing ratio is computed as
	
r =
crashcost
normalcost
normalduration
crashduration
−
−
A
2
F
3
D
2
B
4
C
3
E
3
3
6
6
3
0
0
0
0
0
0
2
6
6
6
6
4
7
7
7
7
7
7
4
4
4
2
0
2
2
4
2
5
7
0
3
3
G
1
End
Start
FIGURE 5?","computed as
	
r =
crashcost
normalcost
normalduration
crashduration
−
−
A
2
F
3
D
2
B
4
C
3
E
3
3
6
6
3
0
0
0
0
0
0
2
6
6
6
6
4
7
7
7
7
7
7
4
4
4
2
0
2
2
4
2
5
7
0
3
3
G
1
End
Start
FIGURE 5."
"3
Normal and Crash Time and Cost Data
Activity
Normal
Duration
Normal
Cost ($)
Crash
Duration
Crash
Cost ($)
Crashing
Ratio
A
2
210
2
210
0
B
6
400
4
600
100
C
4
500
3
750
250
D
3
540
2
600
60
E
5
750
3
950
100
F
4
275
3
310
35
G
2
100
1
125
25
2775
3545
129
Critical Path Method for Oil and Gas Projects
This method of computing the crashing ratio gives crashing priority to 
the activity with the lowest cost slope?","method of computing the crashing ratio gives crashing priority to 
the activity with the lowest cost slope."
"It is a commonly used approach to 
expediting in CPM networks?","a commonly used approach to 
expediting in CPM networks."
"If our approach is to crash only one activity at a time, we 
may decide to crash activity G first and evaluate the increase in project cost 
versus the reduction in project duration?","to crash only one activity at a time, we 
may decide to crash activity G first and evaluate the increase in project cost 
versus the reduction in project duration."
"The process can then be repeated 
for the next best candidate for crashing, which in this case is activity F?",case.
"The 
project completion time is not reduced any further since activity F is not a 
critical activity?",not reduced any further since activity F.
"This approach is repeated iteratively in order of activity preference until 
no further reduction in project duration can be achieved or until the total 
project cost exceeds a specified limit?",approach.
"A more comprehensive analysis is 
to evaluate all possible combinations of the activities that can be crashed?",.
"However, such a complete enumeration would be prohibitive, since there 
would be a total of 2c crashed networks to evaluate, where c is the number 
of activities that can be crashed out of the n activities in the network (c ≤ n)?","the number 
of activities that can be crashed out of the n activities in the network (c ≤ n)."
"Even though 
activities F, D, and B are crashed by a total of 4 days at an incremental cost 
of $295, they do not generate any reduction in project duration?","crashed by a total of 4 days at an incremental cost 
of $295, they do not generate any reduction in project duration."
"Activity E is 
crashed by 2 days and it generates a reduction of 2 days in project duration?",crashed by 2 days and it generates a reduction of 2 days in project duration.
"Activity C, which is crashed by 1 day, generates a further reduction of 1 day 
in the project duration?","crashed by 1 day, generates a further reduction of 1 day 
in the project duration."
"130
Project Management for the Oil and Gas Industry
reductions in project duration are the ones that were identified earlier as the 
critical activities?","the ones that were identified earlier as the 
critical activities."
"As more activities are 
crashed, the project duration decreases while the total project cost increases?","crashed, the project duration decreases while the total project cost increases."
"Also, one needs to update the critical paths every time a set of activities is 
crashed because new activities may become critical in the meantime?",crashed because new activities may become critical in the meantime.
"9, the path C–E–G is the only critical path 
throughout 7 ≤ T ≤ 11?","the only critical path 
throughout 7 ≤ T ≤ 11."
"There are 
12 possible ways one can crash activities C, G, and E in order to reduce the 
project time?","12 possible ways one can crash activities C, G, and E in order to reduce the 
project time."
"Again, the strategies involve only critical arcs (activities), since 
crashing a noncritical arc is clearly fruitless?",clearly fruitless.
"12 is a plot of the strate-
gies with respect to cost and project duration values?","a plot of the strate-
gies with respect to cost and project duration values."
"The optimal strategy 
for each T value is the strategy with the minimum cost?",the strategy with the minimum cost.
"Optimal strate-
gies are connected in the figure?",connected in the figure.
"This piecewise linear and convex curve is 
referred to as the time–cost trade-off curve?",piecew.
"Several other approaches exist 
for determining which activities to crash in a project network?","t 
for determining which activities to crash in a project network."
"Two alternate 
approaches are presented below for computing the crashing ratio, r?","presented below for computing the crashing ratio, r."
"In deterministic networks, this 
refers to the critical activities?","tic networks, th."
"In stochastic networks, an activity is expected 
to fall on the critical path only a percentage of the time?","expected 
to fall on the critical path only a percentage of the time."
"The second approach 
is a combination of the approach used for the illustrative example and the 
criticality index approach?","a combination of the approach used for the illustrative example and the 
criticality index approach."
"Program Evaluation and Review Technique
The PERT is an extension of CPM that incorporates variability in activity 
durations into project network analysis?","an extension of CPM that incorporates variability in activity 
durations into project network analys."
"In real life, activities are often prone to uncertainties 
that determine the actual durations of the activities?","often prone to uncertainties 
that determine the actual durations of the activities."
"In CPM, activity dura-
tions are assumed to be deterministic?",tic.
"In PERT, the potential uncertainties in 
activity durations are accounted for by using three time estimates for each 
activity?","accounted for by using three time estimates for each 
activity."
"The PERT formulas are 
based on a simplification of the expressions for the mean and variance of 
a beta distribution?",tribution.
"The approximation formula for the mean is a simple 
weighted average of the three time estimates, with the end points assumed 
to be equally likely and the mode four times as likely?","a simple 
weighted average of the three time estimates, with the end points assumed 
to be equally likely and the mode four times as likely."
"The approximation 
formula for PERT is based on the recognition that most of the observations 
from a distribution will lie within plus or minus three standard deviations, 
or a spread of six standard deviations?","based on the recognition that most of the observations 
from a d."
"This leads to the simple method of 
setting the PERT formula for standard deviation equal to one-sixth of the 
estimated duration range?","leads to the simple method of 
setting the PERT formula for standard deviation equal to one-sixth of the 
estimated duration range."
"While there is no theoretical validation for these 
approximation approaches, the PERT formulas do facilitate ease of use?","no theoretical validation for these 
approximation approaches, the PERT formulas do facilitate ease of use."
"The 
formulas are presented below:
	
t
a
m
b
s
b
a
e =
+
+
=
−
4
6
36
2
2
(
)
	
where
a = optimistic time estimate
m = most likely time estimate
b = pessimistic time estimate (a < m < b)
te = expected time for the activity
s2 = variance of the duration of the activity
After obtaining the estimate of the duration for each activity, the network 
analysis is carried out in the same manner as previously illustrated for the 
CPM approach?","tic time estimate
m = most likely time estimate
b = pessim."
"The major steps in PERT analysis are as follows:
	
1?","are as follows:
	
1."
"It should be noted that CPM analysis cannot calculate 
variance of activity duration, since it uses a single time estimate for 
each activity?","cannot calculate 
variance of activity duration, since it uses a single time estimate for 
each activity."
"As in the case of CPM, 
the duration of a project in PERT analysis is the sum of the durations 
of the activities on the critical path?",.
"The variance of the project 
duration is denoted by s2?",denoted by s2.
"It should be recalled that CPM cannot com-
pute the variance of the project duration, since variances of activity 
durations are not computed?",not computed.
"If there are two or more critical paths in the network, choose the 
one with the largest variance to determine the project duration and 
the variance of the project duration?","two or more critical paths in the network, choose the 
one with the largest variance to determine the project duration and 
the variance of the project duration."
"Thus, PERT is pessimistic with 
respect to the variance of project duration when there are multiple 
critical paths in the project network?",pessim.
"For some networks, it may be 
necessary to perform a mean–variance analysis to determine the 
relative importance of the multiple paths by plotting the expected 
project duration versus the path duration variance?","to determine the 
relative importance of the multiple paths by plotting the expected 
project duration versus the path duration variance."
This is not possible under CPM?,.
"In practice, a question often arises as to how to obtain good estimates of 
a, m, and b?","es as to how to obtain good estimates of 
a, m, and b."
"Some of the approaches are:
•	 Estimates furnished by an experienced person
•	 Estimates extracted from standard time data
•	 Estimates obtained from historical data
•	 Estimates obtained from simple regression and/or forecasting
•	 Estimates generated by simulation
•	 Estimates derived from heuristic assumptions
•	 Estimates dictated by customer requirements
The pitfall of using estimates furnished by an individual is that they may 
be inconsistent since they are limited by the experience and personal bias 
of the person providing them?","hed by an experienced person
•	 Estimates extracted from standard time data
•	 Estimates obtained from h."
"Individuals responsible for furnishing time 
estimates are usually not experts in estimation, and they generally have dif-
ficulty in providing accurate PERT time estimates?","hing time 
estimates are usually not experts in estimation, and they generally have dif-
ficulty in providing accurate PERT time estimates."
"There is often a tendency 
to select values of a, m, and b that are optimistically skewed?","often a tendency 
to select values of a, m, and b that are optim."
"This is because 
a conservatively large value is typically assigned to b by inexperienced indi-
viduals?",.
"The use of historical 
data and forecasting is very popular because estimates can be verified and 
validated by actual records?","torical 
data and forecasting."
"In the case of regression and forecasting, there is 
the danger of extrapolation beyond the data range used for fitting the regres-
sion and forecasting models?","the danger of extrapolation beyond the data range used for fitting the regres-
sion and forecasting models."
"The expected activ-
ity durations and variances as calculated by the PERT formulas are shown 
in the two right-hand columns of the table?","shown 
in the two right-hand columns of the table."
"Activities C, E, and G are shown to be critical, and the project comple-
tion time is 11 time units?",11 time units.
", Td = 10) is calculated as
	
T
V C
V E
V G
e =
=
+
+
=
+
+
=
=
=
11
0 25
0 25
0 1111
0 6111
0 6111
0 7
2
s
s
[ ]
[ ]
[ ]?","calculated as
	
T
V C
V E
V G
e =
=
+
+
=
+
+
=
=
=
11
0 25
0 25
0 1111
0 6111
0 6111
0 7
2
s
s
[ ]
[ ]
[ ]."
"1111
136
Project Management for the Oil and Gas Industry
Thus, there is just over 10% probability of finishing the project within 
10 days?",just over 10% probability of fin.
"By contrast, the probability of finishing the project in 13 days is 
calculated as
	
P T
P z
P z
(
)?",hing the project in 13 days.
"≤
=
≤
−






=
≤
=
13
13
11
0 7817
2 5585
0 9948
This implies that there is over 99% probability of finishing the project 
within 13 days?",implies that there.
"Note that the probability of finishing the project in exactly 
13 days will be 0?","hing the project in exactly 
13 days will be 0."
"An exercise at the end of this chapter requires the reader 
to show that P(T = Td) = 0?",e at the end of th.
"137
Critical Path Method for Oil and Gas Projects
Precedence Diagramming Method
The PDM was developed in the early 1960s as an extension of the basic PERT/
CPM network analysis?",.
"The usual finish-to-start 
­
dependencies between activities are relaxed to allow activities to be overlapped?","h-to-start 
­
dependencies between activities are relaxed to allow activities to be overlapped."
This facilitates schedule compression?,facilitates schedule compression.
"An example is the requirement that con-
crete should be allowed to dry for a number of days before drilling holes for 
handrails?","the requirement that con-
crete should be allowed to dry for a number of days before drilling holes for 
handrails."
"That is, drilling cannot start until so many days after the comple-
tion of concrete work?",", drilling cannot start until so many days after the comple-
tion of concrete work."
This is a finish-to-start constraint?,.
"The time between the 
finishing time of the first activity and the starting time of the second activ-
ity is called the lead–lag requirement between the two activities?","hing time of the first activity and the starting time of the second activ-
ity."
"The terminology is explained as follows:
SSAB (start-to-start) lead: This specifies that activity B cannot start until 
activity A has been in progress for at least SS time units?","explained as follows:
SSAB (start-to-start) lead: Th."
"FFAB (finish-to-finish) lead: This specifies that activity B cannot finish 
until at least FF time units after the completion of activity A?",h-to-fin.
"FSAB (finish-to-start) lead: This specifies that activity B cannot start 
until at least FS time units after the completion of activity A?",h-to-start) lead: Th.
"Note 
that PERT/CPM approaches use FSAB = 0 for network analysis?",.
"SFAB (start-to-finish) lead: This specifies that there must be at least SF 
time units between the start of activity A and the completion of 
activity B?",h) lead: Th.
"Start-to-start
Start-to-finish
Finish-to-finish
Finish-to-start
SS
B
A
B
FF
A
FS
B
A
A
SF
B
FIGURE 5?","h
Fin."
"If percentage of 
work completed is used for determining lead–lag constraints, then a reliable 
procedure must be used for estimating the percent completion?","used for determining lead–lag constraints, then a reliable 
procedure must be used for estimating the percent completion."
"If the project 
work is broken up properly using WBS, it will be much easier to estimate 
percent completion by evaluating the work completed at the elementary task 
levels?","broken up properly using WBS, it will be much easier to estimate 
percent completion by evaluating the work completed at the elementary task 
levels."
"For example, we may have at 
most an FF lag requirement between the finishing time of one activity and 
the finishing time of another activity?","hing time of one activity and 
the fin."
"Some 
of the factors that will determine whether or not an activity can be split are 
technical limitations affecting splitting of a task, morale of the person work-
ing on the split task, setup times required to restart split tasks, difficulty 
involved in managing resources for split tasks, loss of consistency of work, 
and management policy about splitting jobs?","tency of work, 
and management policy about splitting jobs."
15 presents a simple CPM network consisting of three activities?,ting of three activities.
"The activities are to be performed serially and each has an expected duration 
of 10 days?","to be performed serially and each has an expected duration 
of 10 days."
"The conventional CPM network analysis indicates that the dura-
tion of the network is 30 days?","indicates that the dura-
tion of the network."
"The earliest times and the latest times are as 
shown in the figure?","as 
shown in the figure."
The Gantt chart for the example is shown in Figure 5?,shown in Figure 5.
"For comparison, 
Figure 5?","on, 
Figure 5."
"For 
example, there is an SS constraint of 2 days and an FF constraint of 2 days 
between activities A and B?","an SS constraint of 2 days and an FF constraint of 2 days 
between activities A and B."
"Thus, activity B can start as early as 2 days after 
activity A starts, but it cannot finish until 2 days after the completion of A?",h until 2 days after the completion of A.
"Likewise, at least 2 days must separate the finishing time of A and the fin-
ishing time of B?","e, at least 2 days must separate the fin."
"A similar precedence relationship exists between activity B 
and activity C?","ts between activity B 
and activity C."
"The earliest and latest times obtained by considering the lag 
constraints are indicated in Figure 5?",indicated in Figure 5.
"The calculations show that if B is started just 2 days after A is started, it 
can be completed as soon as 12 days as opposed to the 20 days obtained 
in the case of conventional CPM?",started just 2 days after A.
"Similarly, activity C is completed at time 
14, which is considerably less than the 30 days calculated by conventional 
CPM?","completed at time 
14, which."
"139
Critical Path Method for Oil and Gas Projects
Depending on the nature of the tasks involved, an activity does not have to 
wait until its predecessor finishes before it can start?",hes before it can start.
"A portion of an activity that overlaps with a portion of another activity may 
be viewed as a distinct portion of the required work?",tinct portion of the required work.
"19 shows how each of the three activi-
ties is partitioned into contiguous parts?",partitioned into contiguous parts.
"Even though there is no physical 
break or termination of work in any activity, the distinct parts (beginning and 
ending) can still be identified?","no physical 
break or termination of work in any activity, the d."
"This means that there is no physical splitting 
of the work content of any activity?",means that there.
"The distinct parts are determined on the 
basis of the amount of work that must be completed before or after another 
activity, as dictated by the lead–lag relationships?","tinct parts are determined on the 
bas."
"Note that activity A is par-
titioned into parts A1 and A2?","par-
titioned into parts A1 and A2."
"The duration of A1 is 2 days because there is an 
SS = 2 relationship between activity A and activity B?",2 days because there.
"Since the original dura-
tion of A is 10 days, the duration of A2 is then calculated to be 10 − 2 = 8 days?","10 days, the duration of A2."
"140
Project Management for the Oil and Gas Industry
Likewise, activity B is partitioned into parts B1, B2, and B3?","e, activity B."
"The duration 
of B1 is 2 days because there is an SS = 2 relationship between activity B and 
activity C?",2 days because there.
"The duration of B3 is also 2 days because there is an FF = 2 rela-
tionship between activity A and activity B?",also 2 days because there.
"Since the original duration of 
B is 10 days, the duration of B2 is calculated to be 10 − (2 + 2) = 6 days?","10 days, the duration of B2."
"In a 
similar fashion, activity C is partitioned into C1 and C2?",partitioned into C1 and C2.
"The duration of C2 is 
2 days because there is an FF = 2 relationship between activity B and activity 
C?",2 days because there.
"Since the original duration of C is 10 days, the duration of C1 is then cal-
culated to be 10 − 2 = 8 days?","10 days, the duration of C1."
"20 shows a conventional CPM network 
drawn for the three activities after they are partitioned into distinct parts?",tinct parts.
"141
Critical Path Method for Oil and Gas Projects
The conventional forward and backward passes reveal that all the activ-
ity parts are on the critical path?",on the critical path.
"This makes sense, since the original three 
activities are performed serially and no physical splitting of activities has 
been performed?","makes sense, since the original three 
activities are performed serially and no physical splitting of activities has 
been performed."
"Note that there are three critical paths, each with a length 
of 14 days?","three critical paths, each with a length 
of 14 days."
"It should also be noted that the distinct parts of each activity are 
performed contiguously?","tinct parts of each activity are 
performed contiguously."
"The con-
ventional CPM analysis shows that the duration of the network is 30 days?",shows that the duration of the network.
"When lead−lag constraints are introduced into the network as shown in 
Figure 5?","introduced into the network as shown in 
Figure 5."
"22, the network duration is compressed to 18 days?",compressed to 18 days.
"22, note that the earliest com-
pletion time of B is time 11, because there is an FF = 1 restriction between 
C
B
A
0
2
4
10
12
14
Days
A1
A2
B2
C1
C2
B3
B1
FIGURE 5?","time 11, because there."
"Since A finishes at time 10, B cannot finish until 
at least time 11?","hes at time 10, B cannot fin."
"Even though the earliest starting time of B is time 2 and its 
duration is 5 days, its earliest completion time cannot be earlier than time 
11?","time 2 and its 
duration."
"Also note that C can start as early as time 3 because there is an SS = 1 
relationship between B and C?","an SS = 1 
relationship between B and C."
"Thus, given a duration of 15 days for C, the 
earliest completion time of the network is 3 + 15 = 18 days?",3 + 15 = 18 days.
"The difference 
between the earliest completion time of C and the earliest completion time 
of B is 18 − 11 = 7 days, which satisfies the FF = 3 relationship between B and 
C?","18 − 11 = 7 days, which sat."
"In the backward pass, the latest completion time of B is 15 (i?",15 (i.
", 18 − 3 = 15), 
since there is an FF = 3 relationship between activity B and activity C?",an FF = 3 relationship between activity B and activity C.
"The 
latest start time for B is time 2 (i?",time 2 (i.
", 3 − 1 = 2), since there is an SS = 1 relation-
ship between activity B and activity C?","an SS = 1 relation-
ship between activity B and activity C."
"If we are not careful, we may errone-
ously set the latest start time of B to 10 (i?",not c.
"The latest completion time of A is 
found to be 14 (i?",found to be 14 (i.
", 15 − 1 = 14), since there is an FF = 1 relationship between 
A and B?","an FF = 1 relationship between 
A and B."
"When com-
puting earliest start or earliest completion times, the smallest possible value 
that satisfies the lead−lag constraints should be used?",fies the lead−lag constraints should be used.
"By the same reason-
ing, when computing the latest start or latest completion times, the largest 
possible value that satisfies the lead−lag constraints should be used?",fies the lead−lag constraints should be used.
"Manual 
evaluations of the lead−lag precedence network analysis can become very 
tedious for large networks?","can become very 
tedious for large networks."
"If manual analysis must be done for PDM com-
putations, it is suggested that the network be partitioned into more manage-
able segments?","must be done for PDM com-
putations, it."
"The segments may then be linked after the computations are 
completed?",completed.
"143
Critical Path Method for Oil and Gas Projects
the basis of the precedence network in Figure 5?",of the precedence network in Figure 5.
"It is seen that activity 
A is partitioned into two parts, activity B is partitioned into three parts, and 
activity C is partitioned into two parts?","seen that activity 
A."
"The forward and backward passes 
show that only the first parts of activities A and B are on the critical path?",on the critical path.
Both parts of activity C are on the critical path?,on the critical path.
"Looking at the earliest start times, one can see that activ-
ity B is physically split at the boundary of B2 and B3 in such a way that B3 
is separated from B2 by 4 days?",physically split at the boundary of B2 and B3 in such a way that B3.
"This implies that work on activity B is tem-
porarily stopped at time 6 after B2 is finished and is not started again until 
time 10?",implies that work on activity B.
"Note that despite the 4-day delay in starting B3, the entire project is 
not delayed?",not delayed.
"This is because B3, the last part of activity B, is not on the criti-
cal path?",.
"In a situation like this, the duration 
of activity B can actually be increased from 5 to 9 days without any adverse 
effect on the project duration?",", the duration 
of activity B can actually be increased from 5 to 9 days without any adverse 
effect on the project duration."
"If the physical splitting of activities is not permitted, then the best option 
available in Figure 5?","not permitted, then the best option 
available in Figure 5."
"24 is to stretch the duration of B2 so as to fill up the 
gap from time 6 to time 10?","to stretch the duration of B2 so as to fill up the 
gap from time 6 to time 10."
"An alternative is to delay the starting time of 
B1 until time 4 so as to use up the 4-day delay slack right at the beginning 
of activity B?","to delay the starting time of 
B1 until time 4 so as to use up the 4-day delay slack right at the beginning 
of activity B."
"Unfortunately, delaying the starting time of B1 by 4 days will 
delay the overall project by 4 days, since B1 is on the critical path as shown 
in Figure 5?","on the critical path as shown 
in Figure 5."
"The prevailing project sce-
nario should be considered when making such trade-off decisions?",ions.
"In this case, it will be necessary to split both activities A 
C
B1
A1
A2
B2
C1
C2
B3
B
A
0
2
4
6
8
10
12
14
16
18
Days
FIGURE 5?","case, it will be necessary to split both activities A 
C
B1
A1
A2
B2
C1
C2
B3
B
A
0
2
4
6
8
10
12
14
16
18
Days
FIGURE 5."
"If activity splitting is to be avoided, then we can increase the duration of 
activity A from 10 to 14 days and the duration of B from 5 to 13 days with-
out adversely affecting the entire project duration?","to be avoided, then we can increase the duration of 
activity A from 10 to 14 days and the duration of B from 5 to 13 days with-
out adversely affecting the entire project duration."
"The important benefit of 
precedence diagramming is that the ability to overlap activities facilitates 
flexibility in manipulating individual activity times and compressing the 
project duration?","that the ability to overlap activities facilitates 
flexibility in manipulating individual activity times and compressing the 
project duration."
"Work Rate Analysis
Work rate and work time are essential components of estimating the cost of 
specific tasks in project management?","Work rate and work time are essential components of estimating the cost of 
specific tasks in project management."
"Once 
the required time is known, the cost of the task can be computed on the basis 
of a specified cost per unit time?","known, the cost of the task can be computed on the bas."
"Work rate analysis is important for resource 
substitution decisions?",.
"The analysis can help identify where and when the 
same amount of work can be done with the same level of quality and within 
a reasonable time span by a less expensive resource?","can help identify where and when the 
same amount of work can be done with the same level of quality and within 
a reasonable time span by a less expensive resource."
"The results of learning 
curve analysis can yield valuable information about expected work rate?",can yield valuable information about expected work rate.
"The 
general relationship among work, work rate, and time is given by
	
work done = (work rate)(time)
This is expressed mathematically as
	
w = rt,	
C
B
A
0
2
4
6
8
10
12
14
16
18
Days
A2
A1
B1
C1
C2
B2
B3
FIGURE 5?","given by
	
work done = (work rate)(time)
Th."
"Example of work units are miles of road completed, lines of computer 
code typed, gallons of oil spill cleaned, units of widgets produced, 
and surface area painted?","miles of road completed, lines of computer 
code typed, gallons of oil spill cleaned, units of widgets produced, 
and surface."
"r = 
the rate at which the work is accomplished (i?",accompl.
", work accomplished 
per unit time)?","hed 
per unit time)."
"It should be noted that work is defined as a physical measure of accom-
plishment with uniform density?","defined as a physical measure of accom-
pl."
